id,name,slug,longitude,latitude,country,info:fr
17359,Hameau de Vincy,hameau-de-vincy,4.031542539596558,49.70516606762478,FR,
17360,,,,,FR,
17361,,,,,FR,
17362,Viry-Chatillon—Blazy,viry-chatillon-blazy,2.375372,48.684453,FR,
17363,,,1.980844,48.982491,FR,
17364,Convention Lecourbe,convention-lecourbe,,,FR,
17365,Volontaire Vaugirard,volontaire-vaugirard,,,FR,
17366,Convention Vaugirard,convention-vaugirard,,,FR,
17367,Lavilledieu Z.A.,lavilledieu-za,4.45461988470925,44.5751269259472,FR,
17368,,,,,FR,
17369,,,,,FR,
17370,,,,,FR,
17371,,,,,FR,
17372,,,,,FR,
17373,,,,,FR,
17374,,,,,FR,
17375,,,,,FR,
17376,,,,,FR,
17377,,,,,FR,
17378,,,,,FR,
17379,,,,,FR,
17380,,,,,FR,
17381,,,,,FR,
17382,,,,,FR,
17383,,,,,FR,
17384,,,,,FR,
17385,,,,,FR,
17386,,,2.295404,48.952574,FR,
17387,St-Yorre,st-yorre,,,FR,
17388,St-Yorre Cité de la Verrerie,st-yorre-cite-de-la-verrerie,,,FR,
17389,,,,,FR,
17390,,,,,FR,
17391,,,,,FR,
17392,,,,,FR,
17393,,,,,FR,
17394,,,,,FR,
17395,,,,,FR,
17396,,,,,FR,
17397,,,,,FR,
17398,,,,,FR,
17399,,,,,FR,
17400,,,,,FR,
17401,Saulxures-sur-Moselotte, lac,,,f,
17402,Saulxures-sur-Moselotte, LEP,,,f,
17403,Saulxures-sur-Moselotte, Place Claude,,,f,
17404,Bussang,bussang,,,FR,
17405,,,,,FR,
17406,,,,,FR,
17407,Lamerey,lamerey,6.231007,48.217634,FR,
17408,,,,,FR,
17409,Anzeling Carrefour,anzeling-carrefour,,,FR,
17410,,,,,FR,
17411,,,,,FR,
17412,Hargarten-aux-Mines,hargarten-aux-mines,6.607404,49.225388,FR,
17413,,,,,FR,
17414,,,,,FR,
17415,,,,,FR,
17416,Mertzwiller Monument aux Morts,mertzwiller-monument-aux-morts,7.679716944694519,48.863116133491566,FR,
17417,Reichshoffen Sapin,reichshoffen-sapin,,,FR,
17418,,,,,FR,
17419,,,,,FR,
17420,,,,,FR,
17421,,,,,FR,
17422,,,,,FR,
17423,,,,,FR,
17424,,,,,FR,
17425,,,,,FR,
17426,,,,,FR,
17427,,,,,FR,
17428,,,,,FR,
17429,,,,,FR,
17430,,,,,FR,
17431,,,,,FR,
17432,,,,,FR,
17433,Agen,agen,,,FR,
17434,,,,,FR,
17435,,,,,FR,
17436,,,,,FR,
17437,Arzviller,arzviller,,,FR,
17438,Sains-Morainvillers,sains-morainvillers,2.475674,49.528136,FR,
17439,Montigny D938 Général Leclerc (Oise),montigny-d938-general-leclerc-oise,2.507648,49.551885,FR,
17440,Maignelay Pharmacie,maignelay-pharmacie,2.511136,49.546869,FR,
17441,Royaucourt Église,royaucourt-eglise,2.537978,49.613911,FR,
17442,Abbémont,abbemont,2.508080005645752,49.61669528113147,FR,
17443,Ayencourt,ayencourt,2.551102,49.627206,FR,
17444,Montdidier LEP,montdidier-lep,2.5805479288101196,49.653109384514096,FR,
17445,Roye St-Mard,roye-st-mard,,,FR,
17446,Roye CES,roye-ces,,,FR,
17447,Roye Salengro,roye-salengro,2.821138,49.675721,FR,
17448,Roye Centre,roye-centre,2.793982,49.671918,FR,
17449,Roye Agri Santerre,roye-agri-santerre,2.753261,49.666192,FR,
17450,Montdidier Place Doumer,montdidier-place-doumer,2.587841,49.642802,FR,
17451,Montdidier Place Foch,montdidier-place-foch,2.587419,49.641921,FR,
17452,Montdidier Place Faidherbe,montdidier-place-faidherbe,2.597145,49.640932,FR,
17453,Courcelles (Somme),courcelles-somme,2.989380,49.918375,FR,
17454,Péronne Lycée Mendès France,peronne-lycee-mendes-france,,,FR,
17455,Mazancourt,mazancourt,,,FR,
17456,Boucly,boucly,3.014244,49.935365,FR,
17457,Reichshoffen Usines,reichshoffen-usines,7.652436,48.919431,FR,
17458,Salzburg Hbf,salzburg-hbf,13.045819401741028,47.813046443088425,AT,Gare centrale
17459,Duivendrecht,duivendrecht,4.936552,52.323556,NL,
