name,howbig,latitude,longitude,postalCode,city,department,region
Saint-Omer-en-Chaussée,c,49.5306261, 1.9970829,60860,Saint-Omer-en-Chaussée,Oise,Picardie
Méru,b,49.23233, 2.13254,60110,Méru,Oise,Picardie
Cires-lès-Mello,c,49.2717956, 2.3601903,60660,Cires-lès-Mello,Oise,Picardie
Beauvais,b,49.42648, 2.08869,60000,Beauvais,Oise,Picardie
Estrées-Saint-Denis,c,49.4382161, 2.642402,60190,Estrées-Saint-Denis,Oise,Picardie
Namps - Quevauvillers,c,49.8082274, 2.1053184,80710,Namps-Maisnil,Somme,Picardie
Saint-Remy-en-l'Eau,c,49.4681726, 2.4258609,60130,Saint-Remy-en-l'Eau,Oise,Picardie
Gannes,c,49.5723315, 2.4370074,60120,Gannes,Oise,Picardie
Albert,b,50.00546, 2.64453,80300,Albert,Somme,Picardie
Méricourt - Ribemont,c,49.9556384, 2.5726254,80340,Méricourt-l'Abbé,Somme,Picardie
Besançon Franche-Comté TGV,a,47.3073610585, 5.95319509506,25870,Auxons,Doubs,Franche-Comté
Marle sur Serre,c,49.747192, 3.7695801,2250,Marle,Aisne,Picardie
Hautmont,b,50.25398, 3.91522,59330,Hautmont,Nord,Nord-Pas-de-Calais
Ruminghem,c,50.8620636, 2.1576706,62370,Ruminghem,Pas-de-Calais,Nord-Pas-de-Calais
Lezennes,c,50.6205699, 3.0986481,59260,Lezennes,Nord,Nord-Pas-de-Calais
Genech,c,50.5306894, 3.2205033,59242,Genech,Nord,Nord-Pas-de-Calais
Roubaix,b,50.69561, 3.16348,59100,Roubaix,Nord,Nord-Pas-de-Calais
Croix - Wasquehal,c,50.6785574, 3.1380315,59170,Wasquehal,Nord,Nord-Pas-de-Calais
Nomain,c,50.5023744, 3.2063499,59310,Nomain,Nord,Nord-Pas-de-Calais
Rosult,c,50.4563667, 3.3490115,59230,Rosult,Nord,Nord-Pas-de-Calais
Phalempin,b,50.5154, 3.0199,59133,Phalempin,Nord,Nord-Pas-de-Calais
La Fontaine,c,50.5661459, 2.9261079,59136,Wavrin,Nord,Nord-Pas-de-Calais
Wavrin,b,50.57443, 2.93672,59136,Wavrin,Nord,Nord-Pas-de-Calais
Comines,c,50.7608973, 3.0096253,59560,Comines,Nord,Nord-Pas-de-Calais
Quesnoy-sur-Deûle,c,50.7081361, 2.9952832,59890,Quesnoy-sur-Deûle,Nord,Nord-Pas-de-Calais
Strazeele,c,50.713492, 2.6312181,59270,Strazeele,Nord,Nord-Pas-de-Calais
